id,brand,product,price
1,Udacity,yoyo,10.0
2,Udacity,yoyo,10
3,Udacity,yoyo,10
4,NewBrand,stuffed animal,2.09
5,AllMy,yoyo,1.0
6,Udacity,doll,5.99
7,Udacity,yoyo,10.0
8,Bouncy,ball,12.0
9,MyCool,dollhouse,14.4
10,MySoft,stuffed animal,2.09
11,AllMy,yoyo,1.0
12,Udacity,doll,5.99
13,Udacity,yoyo,10.0
14,Bouncy,ball,12.0
15,MyCool,dollhouse,14.4
16,MySoft,stuffed animal,2.09
17,AllMy,yoyo,1.0
18,Udacity,doll,5.99
19,Udacity,yoyo,10.0
20,Bouncy,ball,12.0
21,MyCool,dollhouse,14.4
22,MySoft,stuffed animal,2.09
23,AllMy,yoyo,1.0
24,Udacity,doll,5.99
25,Udacity,yoyo,10.0
26,Bouncy,ball,12.0
27,MyCool,dollhouse,14.4
28,MySoft,stuffed animal,2.09
29,AllMy,yoyo,1.0
30,Udacity,doll,5.99
31,Udacity,yoyo,10.0
32,Bouncy,ball,12.0
33,MyCool,dollhouse,14.4
34,MySoft,stuffed animal,2.09
35,AllMy,yoyo,1.0
36,Udacity,doll,5.99
37,Udacity,yoyo,10.0
38,Bouncy,ball,12.0
39,MyCool,dollhouse,14.4
40,MySoft,stuffed animal,2.09
41,AllMy,yoyo,1.0
42,Udacity,doll,5.99
43,Udacity,yoyo,10.0
44,Bouncy,ball,12.0
45,MyCool,dollhouse,14.4
46,MySoft,stuffed animal,2.09
47,AllMy,yoyo,1.0
48,Udacity,doll,5.99
49,Udacity,yoyo,10.0
50,Bouncy,ball,12.0
51,MyCool,dollhouse,14.4
52,MySoft,stuffed animal,2.09
53,AllMy,yoyo,1.0
54,Udacity,doll,5.99
55,Udacity,yoyo,10.0
56,Bouncy,ball,12.0
57,MyCool,dollhouse,14.4
58,MySoft,stuffed animal,2.09
59,AllMy,yoyo,1.0
60,Udacity,doll,5.99
61,Udacity,yoyo,10.0
62,Bouncy,ball,12.0
63,MyCool,dollhouse,14.4
64,MySoft,stuffed animal,2.09
65,AllMy,yoyo,1.0
66,Udacity,doll,5.99
